set,t,rarity,pull_rate,card,number,is_pokemon,is_chase,price_on_release,current_price,popularity_index,ebay_index,set_popularity_index,next_price,next_log_return,log_return_1m,log_return_2m,log_return_3m,momentum_3m,volatility_3m,card_age,log_current_price,return_since_release,log_return_6m,momentum_6m,price_mean_3m,price_mean_6m,price_vs_mean_3m,price_vs_mean_6m,volatility_6m,history_length,popularity_chase,ebay_chase,set_popularity_chase
151,0,Double Rare,0.0104166666666666,Alakazam ex,65,True,False,1.08,1.08,0.5643756192421202,0.634536541889483,0.811,7.79,1.9758798187465285,,,,,,0,0.7323678937132266,0.0,,,,,,,,0,0.0,0.0,0.0
151,0,Ultra Rare,0.00390625,Alakazam ex,188,True,False,7.79,7.79,0.5643756192421202,0.6610071301247771,0.811,42.88,1.7055646568798897,1.9758798187465285,,,,,0,2.1736147116970854,0.0,,,,,,,,1,0.0,0.0,0.0
151,0,Special Illustration Rare,0.0044642857142857,Alakazam ex,201,True,False,42.88,42.88,0.5643756192421202,0.6701648841354724,0.811,1.14,-3.6273772543561424,1.7055646568798897,3.681444475626418,,,,0,3.7814586354070294,0.0,,,,,,,,2,0.0,0.0,0.0
151,1,Double Rare,0.0104166666666666,Alakazam ex,65,True,False,1.08,1.14,0.5643756192421202,0.634536541889483,0.811,8.38,1.9948196520875878,-3.6273772543561424,-1.9218125974762528,0.05406722127027558,0.05555555555555536,3.1599005665428757,1,0.76080582903376,0.05406722127027558,,,17.25,,0.06608695652173913,,,3,0.0,0.0,0.0
151,1,Ultra Rare,0.00390625,Alakazam ex,188,True,False,7.79,8.38,0.5643756192421202,0.6610071301247771,0.811,58.48,1.9428369009475313,1.9948196520875878,-1.6325576022685548,0.07300705461133478,0.07573812580231065,3.165781523723536,1,2.238579763018133,0.07300705461133478,,,17.270000000000003,,0.4852345107122177,,,4,0.0,0.0,0.0
151,1,Special Illustration Rare,0.0044642857142857,Alakazam ex,201,True,False,42.88,58.48,0.5643756192421202,0.6701648841354724,0.811,0.97,-4.0991440229262315,1.9428369009475313,3.937656553035119,0.31027929867897636,0.36380597014925353,3.2310753111306187,1,4.085640121591954,0.31027929867897636,,,17.466666666666672,,3.348091603053434,,,5,0.0,0.0,0.0
151,2,Double Rare,0.0104166666666666,Alakazam ex,65,True,False,1.08,0.97,0.5643756192421202,0.634536541889483,0.811,7.45,2.038673239876177,-4.0991440229262315,-2.1563071219787004,-0.16148746989111254,-0.14912280701754377,3.5034418544068555,2,0.6780335427498971,-0.107420248620837,-0.107420248620837,-0.10185185185185197,22.666666666666668,19.958333333333332,0.04279411764705882,0.048601252609603345,2.984154714692557,6,0.0,0.0,0.0
151,2,Ultra Rare,0.00390625,Alakazam ex,188,True,False,7.79,7.45,0.5643756192421202,0.6610071301247771,0.811,51.3,1.9294767197852556,2.038673239876177,-2.0604707830500546,-0.11763388210252355,-0.11097852028639621,3.516331394125345,2,2.1341664413690826,-0.0446268274911887,-0.0446268274911887,-0.04364569961489084,22.610000000000003,19.94,0.32950022114108796,0.3736208625877633,2.9926434998614004,7,0.0,0.0,0.0
151,2,Special Illustration Rare,0.0044642857142857,Alakazam ex,201,True,False,42.88,51.3,0.5643756192421202,0.6701648841354724,0.811,1.14,-3.8066624897703196,1.9294767197852556,3.9681499596614325,-0.13099406326479923,-0.12277701778385774,3.512572483024524,2,3.9569963710708773,0.17928523541417715,0.17928523541417715,0.1963619402985073,22.3,19.883333333333333,2.3004484304932733,2.5800502933780383,3.0195522822451006,8,0.0,0.0,0.0
151,3,Double Rare,0.0104166666666666,Alakazam ex,65,True,False,1.08,1.14,0.5643756192421202,0.634536541889483,0.811,6.79,1.7844226791642008,-3.8066624897703196,-1.877185769985064,0.16148746989111248,0.1752577319587627,3.3437296218365398,3,0.76080582903376,0.05406722127027558,0.0,0.0,19.90666666666667,21.286666666666665,0.05726724715338244,0.05355465079862198,3.063548618544676,9,0.0,0.0,0.0
