iter	Passed	Remaining
478	701	762
479	702	761
480	704	759
481	705	758
482	707	757
483	709	755
484	710	754
485	711	752
486	713	751
487	714	750
488	716	748
489	717	747
490	719	745
491	720	744
492	722	742
493	723	741
494	725	740
495	727	739
496	728	737
497	730	736
498	732	734
499	733	733
500	734	731
501	736	730
502	737	728
503	739	727
504	741	726
505	742	725
506	744	723
507	745	722
508	746	720
509	748	719
510	749	717
511	751	716
512	753	715
513	755	714
514	756	712
515	758	711
516	759	710
517	761	708
518	762	707
519	764	705
520	765	703
521	767	702
522	768	700
523	769	699
524	771	698
525	773	696
526	775	695
527	776	694
528	777	692
529	779	690
530	780	689
531	781	687
532	783	686
533	784	684
534	786	683
535	788	682
536	790	681
537	792	680
538	793	678
539	794	677
540	796	675
541	797	674
542	799	672
543	800	671
544	802	669
545	803	668
546	805	667
547	807	665
548	808	664
549	810	662
550	811	661
551	812	659
552	814	658
553	815	656
554	817	655
555	818	653
556	820	652
557	821	651
558	823	649
559	824	648
560	826	646
561	827	645
562	829	643
563	830	642
564	832	640
565	833	639
566	835	637
567	836	636
568	838	634
569	839	633
570	840	631
571	842	630
572	843	628
573	845	627
574	846	625
575	848	624
576	849	622
577	851	621
578	852	619
579	854	618
580	855	616
581	856	615
582	858	613
583	859	612
584	861	610
585	862	609
586	864	607
587	865	606
588	866	604
589	868	603
590	869	601
591	871	600
592	872	598
593	873	597
594	875	595
595	876	594
596	878	592
597	879	591
598	881	589
599	882	588
600	883	586
601	885	585
602	886	583
603	888	582
604	889	580
605	890	579
606	892	577
607	893	576
608	895	574
609	896	573
610	898	571
611	899	570
612	901	568
613	902	567
614	904	566
615	905	564
616	906	562
617	908	561
618	909	559
619	910	558
620	912	556
621	913	555
622	915	553
623	916	552
624	917	550
625	919	549
626	920	547
627	922	546
628	923	544
629	925	543
630	926	541
631	927	540
632	929	538
633	930	537
634	932	535
635	933	534
636	934	532
637	936	531
638	937	529
639	939	528
640	940	526
641	941	525
642	943	523
643	944	522
644	946	520
645	947	519
646	949	517
647	950	516
648	952	514
649	953	513
650	954	511
651	956	510
652	957	508
653	958	507
654	960	505
655	961	504
656	963	502
657	964	501
658	965	499
659	967	498
660	968	496
661	970	495
662	971	493
663	972	492
664	974	490
665	975	489
666	977	487
667	978	486
668	979	484
669	981	483
670	982	481
671	984	480
672	985	478
673	987	477
674	988	475
675	989	474
676	991	472
677	992	471
678	994	470
679	995	468
680	997	467
681	998	465
682	1000	464
683	1001	462
684	1003	461
