iter	Quantile:alpha=0.9
0	0.2669384445
1	0.2601746691
2	0.2538893197
3	0.2477707669
4	0.2421108836
5	0.236131697
6	0.2304434713
7	0.225226068
8	0.2199608247
9	0.2147646569
10	0.2101086661
11	0.205508299
12	0.2012221544
13	0.1971191075
14	0.1931081743
15	0.1898081985
16	0.1860076801
17	0.1830993366
18	0.1795029014
19	0.1762328384
20	0.1730951968
21	0.1705702178
22	0.1675979707
23	0.1654536478
24	0.1628141089
25	0.1609052002
26	0.1582018022
27	0.1556428883
28	0.153664459
29	0.1512883089
30	0.149111474
31	0.1472434205
32	0.1453048653
33	0.1431822085
34	0.1414640613
35	0.1398775043
36	0.1381626347
37	0.1364716226
38	0.1349745311
39	0.1331934352
40	0.131794084
41	0.1303182853
42	0.1284618565
43	0.1272085259
44	0.1258646352
45	0.1244768233
46	0.1229706645
47	0.1213152738
48	0.1201819415
49	0.1190439793
50	0.1177372161
51	0.1162099551
52	0.1149109153
53	0.1139242575
54	0.1125083479
55	0.1115887164
56	0.1108178372
57	0.1098776799
58	0.1090113204
59	0.1077667294
60	0.1068991914
61	0.1057395312
62	0.1046414801
63	0.1039313624
64	0.1032412183
65	0.1020918473
66	0.1014932266
67	0.100461333
68	0.09982827222
69	0.0992296621
70	0.09859532807
71	0.09747791218
72	0.09655965016
73	0.09590112016
74	0.09535175564
75	0.09449986577
76	0.09383960685
77	0.09290786536
78	0.0924239216
79	0.09201679964
80	0.09147431964
81	0.09107646223
82	0.09065385954
83	0.09004796271
84	0.08961561757
85	0.08918574704
86	0.08873861747
87	0.08829412088
88	0.0879201739
89	0.08752382042
90	0.08722967871
91	0.08656308468
92	0.08630237688
93	0.08601934031
94	0.08542943712
95	0.08503251381
96	0.08459144499
97	0.08424178975
98	0.08363841572
99	0.08329577632
100	0.08271378073
101	0.08223926775
102	0.08190226648
103	0.08156540017
104	0.08112952561
105	0.08069388249
106	0.08020087405
107	0.07965038886
108	0.07943075369
109	0.07895335486
110	0.07851529751
111	0.07794873125
112	0.07747379243
113	0.0771387249
114	0.07674794227
115	0.07631437103
116	0.07585610217
117	0.07542959611
118	0.07505757238
119	0.07482194845
120	0.07453633947
121	0.07413893953
122	0.0738556257
123	0.07354827737
124	0.07325180085
125	0.07301580302
126	0.07276082155
127	0.07238046899
128	0.07209642814
129	0.07184455696
130	0.07162433705
131	0.07132873064
132	0.07100453147
